委托时间,成交时间,交易方向,成交价格,成交金额,成交额(股票数),手续费,现金余额,持仓股票数量
1724938200000,1724991000000,买入,59183.67346938775,157.82312925170066,0.0026666666666666666,0.1183673469387755,5158.705442176871,0.13066666666666663
1724938200000,1724991000000,买入,60204.08163265306,160.54421768707482,0.0026666666666666666,0.12040816326530612,4998.040816326531,0.1333333333333333
1724991000000,1725043800000,卖出,59183.67346938775,157.82312925170066,0.0026666666666666666,0.1183673469387755,5155.745578231293,0.13066666666666663
1725043800000,1725096600000,买入,59183.67346938775,157.82312925170066,0.0026666666666666666,0.1183673469387755,4997.804081632653,0.1333333333333333
1725096600000,1725149400000,卖出,59183.67346938775,157.82312925170066,0.0026666666666666666,0.1183673469387755,5155.508843537415,0.13066666666666663
1725149400000,1725202200000,买入,59183.67346938775,157.82312925170066,0.0026666666666666666,0.1183673469387755,4997.567346938775,0.1333333333333333
1725202200000,1725255000000,买入,58163.26530612245,155.10204081632654,0.0026666666666666666,0.1163265306122449,4842.348979591836,0.13599999999999998
1725255000000,1725307800000,卖出,58163.26530612245,310.2040816326531,0.0026666666666666666,0.2326530612244898,5152.320408163265,0.13066666666666663
1725360600000,1725413400000,买入,57142.857142857145,152.38095238095238,0.0026666666666666666,0.11428571428571428,4999.825170068027,0.1333333333333333
1725360600000,1725413400000,买入,58163.26530612245,155.10204081632654,0.0026666666666666666,0.1163265306122449,4844.606802721088,0.13599999999999998
1725413400000,1725466200000,卖出,57142.857142857145,304.76190476190476,0.0026666666666666666,0.22857142857142856,5149.1401360544205,0.13066666666666663
1725413400000,1725466200000,卖出,58163.26530612245,155.10204081632654,0.0026666666666666666,0.1163265306122449,5304.125850340135,0.12799999999999995
1725466200000,1725519000000,买入,57142.857142857145,152.38095238095238,0.0026666666666666666,0.11428571428571428,5151.630612244897,0.13066666666666663
1725466200000,1725519000000,买入,58163.26530612245,155.10204081632654,0.0026666666666666666,0.1163265306122449,4996.412244897958,0.1333333333333333
1725571800000,1725624600000,买入,56122.448979591834,149.65986394557822,0.0026666666666666666,0.11224489795918367,4846.6401360544205,0.13599999999999998
1725624600000,1725677400000,买入,54081.63265306123,144.21768707482994,0.0026666666666666666,0.10816326530612246,4702.314285714285,0.13866666666666666
1725624600000,1725677400000,买入,55102.04081632653,146.93877551020407,0.0026666666666666666,0.11020408163265305,4555.265306122448,0.14133333333333334
